origin,variety,process,acidity,body,sweetness,cup_total,source
Ethiopia,정보없음,Washed / Wet,1.0,0.976,1.0,90.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Other,Washed / Wet,0.951,0.952,1.0,89.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,정보없음,0.906,0.925,1.0,89.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,Natural / Dry,0.906,0.976,1.0,89.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Other,Washed / Wet,0.929,0.952,1.0,88.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,Natural / Dry,0.929,0.901,1.0,88.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,Other,Washed / Wet,0.929,0.901,1.0,88.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.906,0.925,0.923,88.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.906,0.925,0.923,88.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Other,Natural / Dry,0.929,0.727,1.0,88.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,Natural / Dry,0.929,0.751,1.0,88.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States,Other,Washed / Wet,0.88,0.85,1.0,87.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States,Other,Washed / Wet,0.906,0.826,1.0,87.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.857,0.901,1.0,87.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.857,1.0,0.923,87.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States,Other,Washed / Wet,0.834,0.877,1.0,87.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,정보없음,정보없음,0.714,0.976,1.0,87.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.88,0.952,0.923,87.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Catimor,Washed / Wet,0.834,0.802,1.0,87.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Ethiopian Yirgacheffe,Natural / Dry,0.834,0.85,1.0,87.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States,Other,Washed / Wet,0.929,0.901,1.0,87.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.834,0.826,1.0,87.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.786,0.775,1.0,87.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States,Other,Washed / Wet,0.834,0.775,1.0,87.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,Natural / Dry,0.834,0.925,1.0,87.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.786,0.826,1.0,86.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.834,0.877,1.0,86.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.834,0.775,1.0,86.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,정보없음,0.786,0.85,1.0,86.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Sumatra,Pulped natural / honey,0.857,0.826,1.0,86.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,정보없음,0.88,0.826,1.0,86.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",정보없음,Natural / Dry,0.786,0.7,1.0,86.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.714,0.826,1.0,86.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.809,0.775,1.0,86.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,Natural / Dry,0.786,0.85,1.0,86.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL34,Washed / Wet,0.857,0.802,1.0,86.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.763,0.802,1.0,86.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.714,0.727,1.0,86.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.809,0.85,1.0,86.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States,Other,Washed / Wet,0.786,0.877,1.0,86.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,Caturra,Washed / Wet,0.857,0.7,1.0,86.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,정보없음,0.714,0.925,1.0,86.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,정보없음,0.714,0.802,1.0,86.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Bourbon,Semi-washed / Semi-pulped,0.809,0.751,1.0,86.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Natural / Dry,0.786,0.775,1.0,86.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Semi-washed / Semi-pulped,0.786,0.751,1.0,86.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,정보없음,Semi-washed / Semi-pulped,0.763,0.85,1.0,86.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.809,0.85,1.0,86.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Washed / Wet,0.929,0.676,1.0,86.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,Other,Washed / Wet,0.809,0.826,1.0,86.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.857,0.826,1.0,86.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.786,0.751,1.0,86.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.809,0.85,1.0,85.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Natural / Dry,0.809,0.775,1.0,85.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.834,0.775,1.0,85.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Panama,Gesha,Washed / Wet,0.809,0.775,1.0,85.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,Washed / Wet,0.809,0.826,1.0,85.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.834,0.775,1.0,85.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Catuai,Washed / Wet,0.88,0.775,1.0,85.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Caturra,Natural / Dry,0.834,0.802,1.0,85.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,정보없음,Washed / Wet,0.809,0.802,1.0,85.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Papua New Guinea,정보없음,Washed / Wet,0.88,0.826,1.0,85.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.763,0.751,1.0,85.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Semi-washed / Semi-pulped,0.714,0.802,1.0,85.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.714,0.85,1.0,85.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Panama,Caturra,Natural / Dry,0.737,0.727,1.0,85.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Natural / Dry,0.809,0.775,1.0,85.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Other,Natural / Dry,0.763,0.775,1.0,85.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.763,0.727,1.0,85.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.88,0.775,1.0,85.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,Washed / Wet,0.834,0.802,1.0,85.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.691,0.826,1.0,85.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.763,0.751,1.0,85.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Semi-washed / Semi-pulped,0.691,0.751,1.0,85.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,정보없음,정보없음,0.809,0.775,1.0,85.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Catimor,Natural / Dry,0.737,0.775,1.0,85.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Pacamara,Natural / Dry,0.691,0.775,1.0,85.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.763,0.826,0.923,85.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.691,0.85,1.0,85.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL34,Washed / Wet,0.809,0.802,1.0,85.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL34,Washed / Wet,0.809,0.775,1.0,85.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.809,0.751,1.0,85.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Typica,정보없음,0.88,0.751,1.0,85.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,정보없음,0.786,0.802,1.0,85.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.786,0.7,1.0,85.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.737,0.826,1.0,85.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Sumatra Lintong,Semi-washed / Semi-pulped,0.786,0.85,1.0,85.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.763,0.751,1.0,85.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Other,Natural / Dry,0.786,0.826,1.0,85.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.809,0.826,1.0,85.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,Natural / Dry,0.786,0.802,1.0,85.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.763,0.775,1.0,85.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.714,0.775,1.0,85.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.786,0.85,1.0,85.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.786,0.802,1.0,85.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.737,0.802,1.0,85.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.714,0.727,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.763,0.751,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.763,0.802,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.714,0.727,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,정보없음,Washed / Wet,0.714,0.727,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL34,Washed / Wet,0.809,0.826,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.737,0.727,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Pacamara,정보없음,0.809,0.652,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.714,0.826,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,정보없음,정보없음,0.786,0.751,1.0,85.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.737,0.802,1.0,84.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.737,0.751,1.0,84.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Semi-washed / Semi-pulped,0.666,0.826,1.0,84.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.763,0.751,1.0,84.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.714,0.751,1.0,84.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.737,0.676,1.0,84.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.714,0.826,1.0,84.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.786,0.676,1.0,84.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,정보없음,정보없음,0.834,0.802,1.0,84.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Natural / Dry,0.737,0.775,1.0,84.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Natural / Dry,0.691,0.901,1.0,84.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.714,0.775,1.0,84.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.763,0.751,1.0,84.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.786,0.775,1.0,84.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,Caturra,Pulped natural / honey,0.714,0.826,1.0,84.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL34,Washed / Wet,0.763,0.751,1.0,84.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.691,0.727,1.0,84.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,정보없음,정보없음,0.88,0.727,0.923,84.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,정보없음,0.737,0.751,1.0,84.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.786,0.775,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Java,Washed / Wet,0.714,0.751,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Japan,Mundo Novo,Pulped natural / honey,0.62,0.85,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.737,0.676,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.786,0.802,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.549,0.775,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Ethiopian Yirgacheffe,Washed / Wet,0.737,0.7,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Other,Other,0.714,0.727,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.714,0.751,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,정보없음,Washed / Wet,0.737,0.802,0.923,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.714,0.751,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.737,0.751,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Washed / Wet,0.786,0.7,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.737,0.727,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.786,0.727,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.763,0.802,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,Other,Washed / Wet,0.763,0.727,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,정보없음,정보없음,0.714,0.802,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.786,0.826,1.0,84.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL34,Washed / Wet,0.714,0.7,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Other,Washed / Wet,0.763,0.727,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.786,0.775,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,Peaberry,Washed / Wet,0.714,0.7,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Pacas,Washed / Wet,0.763,0.751,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.7,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.714,0.7,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.714,0.7,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Washed / Wet,0.809,0.751,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.786,0.7,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Bourbon,Semi-washed / Semi-pulped,0.786,0.775,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.714,0.85,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Semi-washed / Semi-pulped,0.714,0.7,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Semi-washed / Semi-pulped,0.714,0.676,1.0,84.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.714,0.727,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.714,0.775,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Catimor,Washed / Wet,0.737,0.751,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.737,0.7,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Other,Washed / Wet,0.737,0.727,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Other,Washed / Wet,0.737,0.751,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.737,0.727,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Washed / Wet,0.786,0.727,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.809,0.676,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.714,0.751,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.786,0.676,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,정보없음,0.714,0.64,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,정보없음,0.714,0.727,1.0,84.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.786,0.727,1.0,84.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Mandheling,Other,0.666,0.775,1.0,84.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.691,0.802,1.0,84.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.763,0.727,1.0,84.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.786,0.676,1.0,84.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.737,0.676,1.0,84.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Pacamara,Washed / Wet,0.691,0.775,1.0,84.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.763,0.802,1.0,84.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Washed / Wet,0.714,0.751,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,정보없음,0.691,0.727,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.737,0.727,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.714,0.802,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.737,0.751,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.691,0.85,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.737,0.7,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.737,0.676,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,정보없음,0.714,0.676,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,정보없음,0.643,0.727,1.0,84.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
